Value	Count	percent_new	Percent
94	11	0.034432028046451936	0.034432028046451936
95	15	0.046952765517889	0.046952765517889
96	21	0.06573387172504461	0.06573387172504461
97	26	0.08138479356434093	0.08138479356434093
98	23	0.07199424046076314	0.07199424046076314
99	25	0.07825460919648167	0.07825460919648167
100	8	0.025041474942874137	0.025041474942874137
101	31	0.09703571540363727	0.09703571540363727
102	16	0.050082949885748275	0.050082949885748275
103	21	0.06573387172504461	0.06573387172504461
104	14	0.04382258115002974	0.04382258115002974
105	16	0.050082949885748275	0.050082949885748275
106	17	0.05321313425360754	0.05321313425360754
107	15	0.046952765517889	0.046952765517889
108	15	0.046952765517889	0.046952765517889
109	12	0.0375622124143112	0.0375622124143112
110	14	0.04382258115002974	0.04382258115002974
111	24	0.0751244248286224	0.0751244248286224
112	14	0.04382258115002974	0.04382258115002974
113	10	0.03130184367859267	0.03130184367859267
114	20	0.06260368735718534	0.06260368735718534
115	17	0.05321313425360754	0.05321313425360754
116	11	0.034432028046451936	0.034432028046451936
117	16	0.050082949885748275	0.050082949885748275
118	6	0.0187811062071556	0.0187811062071556
119	14	0.04382258115002974	0.04382258115002974
120	7	0.02191129057501487	0.02191129057501487
121	8	0.025041474942874137	0.025041474942874137
122	14	0.04382258115002974	0.04382258115002974
123	16	0.050082949885748275	0.050082949885748275
124	5	0.015650921839296335	0.015650921839296335
125	16	0.050082949885748275	0.050082949885748275
126	9	0.028171659310733402	0.028171659310733402
127	7	0.02191129057501487	0.02191129057501487
128	9	0.028171659310733402	0.028171659310733402
129	6	0.0187811062071556	0.0187811062071556
130	8	0.025041474942874137	0.025041474942874137
131	13	0.040692396782170466	0.040692396782170466
132	11	0.034432028046451936	0.034432028046451936
133	7	0.02191129057501487	0.02191129057501487
134	6	0.0187811062071556	0.0187811062071556
135	14	0.04382258115002974	0.04382258115002974
136	3	0.0093905531035778	0.0093905531035778
137	7	0.02191129057501487	0.02191129057501487
138	2	0.006260368735718534	0.006260368735718534
139	2	0.006260368735718534	0.006260368735718534
140	7	0.02191129057501487	0.02191129057501487
141	5	0.015650921839296335	0.015650921839296335
142	6	0.0187811062071556	0.0187811062071556
143	6	0.0187811062071556	0.0187811062071556
144	5	0.015650921839296335	0.015650921839296335
145	4	0.012520737471437069	0.012520737471437069
146	7	0.02191129057501487	0.02191129057501487
147	3	0.0093905531035778	0.0093905531035778
148	6	0.0187811062071556	0.0187811062071556
149	1	0.003130184367859267	0.003130184367859267
150	2	0.006260368735718534	0.006260368735718534
151	7	0.02191129057501487	0.02191129057501487
152	5	0.015650921839296335	0.015650921839296335
153	3	0.0093905531035778	0.0093905531035778
154	4	0.012520737471437069	0.012520737471437069
155	6	0.0187811062071556	0.0187811062071556
156	5	0.015650921839296335	0.015650921839296335
157	5	0.015650921839296335	0.015650921839296335
158	5	0.015650921839296335	0.015650921839296335
159	4	0.012520737471437069	0.012520737471437069
160	2	0.006260368735718534	0.006260368735718534
161	8	0.025041474942874137	0.025041474942874137
162	7	0.02191129057501487	0.02191129057501487
163	4	0.012520737471437069	0.012520737471437069
164	7	0.02191129057501487	0.02191129057501487
165	1	0.003130184367859267	0.003130184367859267
166	5	0.015650921839296335	0.015650921839296335
167	3	0.0093905531035778	0.0093905531035778
168	2	0.006260368735718534	0.006260368735718534
169	1	0.003130184367859267	0.003130184367859267
170	2	0.006260368735718534	0.006260368735718534
171	2	0.006260368735718534	0.006260368735718534
